Ticker,ROE (Return on Equity),ROA (Return on Assets),P/E Ratio (PER),Debt/Equity Ratio,Current Ratio,Quick Ratio,Revenue Growth (YoY),Earnings Growth (YoY),EPS Growth (Next 5 Years),σ (std),MDD,6개월 수익률,20일 이동평균선,60일 이동평균선,이평괴리율(20일),RSI(14),MACD,Signal
BRO,0.10695,0.03938,23.79091,64.746,1.182,0.472,0.342,-0.161,-0.03,0.015754035828364,-0.3827463803406593,-0.277205339393016,84.08607063293456,90.82574221293132,-0.0663138193369221,23.804428550519347,-3.952246008187558,-3.494636056353162
BLDR,0.13555999,0.057589997,20.314991,117.723,1.786,1.083,-0.069,-0.549,-0.57,0.028475893010471,-0.4411998204753371,-0.1352879438679657,118.21849937438964,127.89899940490724,-0.094388795957033,23.505954470678372,-4.8268805814140165,-3.874855363338943
CHRW,0.34318,0.095790006,30.650507,80.904,1.585,1.516,-0.109,0.675,0.676,0.0235719666289134,-0.2326578788408605,0.5938466061285961,137.33450088500976,132.31604665120443,0.1047478983284641,75.24773337032433,6.0947123109241375,4.403403156159351
BG,0.09758,0.02592,10.70608,102.816,1.66,0.51,0.716,-0.46,-0.249,0.0204058287222678,-0.2435659370040036,0.1667306786973079,94.84800033569336,86.41450017293295,0.0023405802794486,51.72762431110574,2.384349221767621,2.9084074513655067
CDNS,0.21736,0.11089,84.99742,47.685,3.048,2.685,0.101,0.207,0.206,0.0247462710021841,-0.286251330219012,0.0322600849217251,332.99000091552733,344.71366729736326,-0.0121625227874289,46.28683417085427,-3.9858571369092033,-3.264816048091335
CCL,0.25733998,0.05284,13.860824,233.568,0.338,0.241,0.033,0.06,0.067,0.0292841667630485,-0.4233064079617246,0.1824977862929069,28.30049991607666,29.717333380381262,-0.0498401275811725,30.10334927144912,-0.7105313865029466,-0.537077178400046
CARR,0.0998,0.03812,35.83125,83.159,1.141,0.655,-0.068,0.005,-0.043,0.0212634420718835,-0.3038523425536928,-0.2267927721224844,57.71059818267823,60.46749464670817,-0.0065949126089248,41.85307098031033,-0.5422522257124811,-0.5864945711661876
CDW,0.43007,0.07037,18.117573,239.737,1.39,1.244,0.04,-0.056,-0.08,0.0203821798942875,-0.3059882744907144,-0.2430233884263216,152.33150100708008,159.07513427734375,-0.059222835650172,33.425263642812496,-3.69170808832672,-2.4254216016313945
CBOE,0.21621001,0.09729,27.894512,32.645,1.718,0.919,0.081,0.377,0.377,0.014032242592149,-0.1214033055238636,0.1791471134432838,242.40899963378905,240.61316655476887,0.0690197766581449,83.3893005678976,4.087156580624651,1.8563169180732253
CAT,0.46283,0.08206,29.304415,201.046,1.384,0.784,0.095,-0.036,-0.067,0.0197090636737113,-0.3279690061545037,0.6298498208530827,546.2459594726563,482.1571838378906,0.0450420102640829,64.2539490523103,21.938432376736387,22.53261934275259
