Symbol
MMM
AOS
ABT
ACN
ADBE
AMD
AES
A
ABNB
AKAM
ALGN
ALLE
LNT
ALL
GOOGL
GOOG
AMZN
AMCR
AEE
AEP
AXP
AIG
AWK
AMP
AME
AMGN
APH
ADI
AON
APO
AAPL
AMAT
APP
ACGL
ADM
AJG
AIZ
ATO
ADSK
ADP
AVB
AVY
BKR
BALL
BDX
BBY
TECH
BIIB
BLK
BX
XYZ
BSX
BMY
AVGO
BR
BRO
BLDR
BG
CHRW
CDNS
CCL
CARR
CAT
CBOE
CBRE
CDW
CNP
CF
SCHW
CHTR
CVX
CMG
CB
CI
CINF
CTAS
CSCO
CLX
CME
CMS
KO
CTSH
COIN
CL
CMCSA
CAG
COP
ED
CEG
COO
CPRT
CPAY
COST
CTRA
CSX
CMI
DHR
DRI
DDOG
DVA
DECK
DE
DAL
DVN
DXCM
FANG
DLR
DG
DLTR
D
DASH
DOV
DHI
DTE
DUK
ETN
EBAY
EIX
EW
EA
ELV
EME
EMR
ETR
EOG
EPAM
EFX
EQIX
EQR
ERIE
ESS
EG
EVRG
EXC
EXPE
EXPD
EXR
XOM
FFIV
FDS
FAST
FRT
FIS
FSLR
FE
FI
F
FTNT
FTV
FOXA
FOX
FCX
GRMN
IT
GE
GEHC
GEN
GNRC
GD
GIS
GM
GPC
GILD
GPN
GL
GDDY
GS
HAL
HIG
HSIC
HSY
HPE
HOLX
HD
HON
HRL
HST
HWM
HUBB
HUM
HII
IEX
IDXX
ITW
INCY
IR
PODD
IBKR
ICE
IPG
IVZ
INVH
IQV
JBHT
JBL
JKHY
J
JNJ
JCI
K
KVUE
KDP
KEYS
KMB
KIM
KMI
KLAC
KR
LHX
LH
LRCX
LW
LVS
LDOS
LEN
LII
LLY
LIN
LYV
LKQ
LMT
L
LULU
MPC
MMC
MLM
MAS
MA
MKC
MDT
MRK
META
MET
MU
MSFT
MAA
MHK
MOH
MDLZ
MPWR
MNST
MCO
MS
MOS
MSI
NDAQ
NTAP
NFLX
NEM
NWSA
NWS
NEE
NKE
NI
NDSN
NSC
NOC
NCLH
NUE
NVDA
NVR
NXPI
OXY
ODFL
OMC
ON
OKE
ORCL
PCAR
PKG
PLTR
PANW
PH
PAYX
PAYC
PYPL
PNR
PEP
PFE
PCG
PSX
PNW
POOL
PPG
PPL
PG
PGR
PLD
PRU
PEG
PSA
PHM
PWR
DGX
RL
RTX
O
REG
REGN
RSG
RMD
RVTY
HOOD
ROK
ROL
ROP
ROST
RCL
SPGI
CRM
SLB
SRE
NOW
SHW
SPG
SWKS
SNA
SOLV
SO
LUV
SWK
STLD
STE
SYK
SMCI
SNPS
SYY
TMUS
TROW
TPR
TRGP
TGT
TEL
TDY
TER
TSLA
TXN
TPL
TXT
TMO
TJX
TKO
TTD
TSCO
TT
TRV
TRMB
TYL
TSN
UBER
UDR
ULTA
UNP
UAL
UPS
URI
UNH
UHS
VLO
VTR
VLTO
VRSK
VZ
VRTX
VICI
V
VST
VMC
WRB
GWW
WAB
WMT
DIS
WM
WAT
WEC
WELL
WST
WY
WSM
WMB
WDAY
XEL
XYL
ZBRA
ZBH
ZTS
